No,ClassType,ClassCode,Section,CourseName,Credit,Instructors,ClassSize,Request,Reject,PossibleClassrooms,SurveyCode
0,Required,SE101a,1,Applied Calculus and Differential Equations,3 3 4,H.J.Ahn,60,,Fri- Wed-16:30~18:00,4 5 11 12,101
1,Required,SE101a,2,Applied Calculus and Differential Equations,5 5,H.S.Kang,60,,Fri- Wed-16:30~18:00,4 5 11 12,101
2,Required,SE101a,3,Applied Calculus and Differential Equations,3 3 4,S.Y.Ahn,50,,Mon-9:00~10:30 Wed-9:00~10:30 Tue-9:00~10:30 Thr-9:00~10:30 Wed-16:30~18:00,4 5 11 12,101
3,Required,SE101a,4,Applied Calculus and Differential Equations,3 3 4,K.J.Han,50,,Mon-9:00~10:30 Wed-16:30~18:00,4 5 11 12,101
4,Required,SE201c,1,Linear Algebra,3 3 4,D.S.Lee,60,,Wed-16:30~18:00,4 5 11 12,201
5,Required,SE201c,2,Linear Algebra,3 3 4,S.Y.Ahn,50,,Mon-9:00~10:30 Wed-9:00~10:30 Tue-9:00~10:30 Thr-9:00~10:30 Wed-16:30~18:00,4 5 11 12,201
6,Required,SE201c,3,Linear Algebra,3 3 4,H.I.Lim,60,Mon-9:00~18:00 Wed-9:00~18:00,,4 5 11 12,201
7,Required,SE201d,1,Linear Algebra (Honors),3 3 4,K.J.Han,40,,Mon-9:00~10:30 Wed-16:30~18:00,4 5 11 12,202
8,Required,SE206a,1,Introduction to Probability and Mathematical Statistics with R,4 4,Joo-Han.Kim,65,,Mon-9:00~10:00 Fri- Wed-16:30~18:00,16 18,203
9,Required,SE206a,2,Introduction to Probability and Mathematical Statistics with R,4 4,Joo-Han.Kim,65,,Mon-9:00~10:00 Fri- Wed-16:30~18:00,16 18,203
10,Elective,SE321,1,Introduction to Number Theory and Abstract Algebra,3 3,H.I.Lim,40,Mon-9:00~18:00 Wed-9:00~18:00,,0 1 3 4 5 11 12 ,302
11,Elective,SE329,1,Introduction to Mathematical Analysis,3 3,H.J.Ahn,40,,Fri- Wed-16:30~18:00,0 1 3 4 5 11 12 ,330
12,Elective,SE420,1,Differential Geometry,3 3,H.S.Kang,40,,Fri- Wed-16:30~18:00,0 1 3 4 5 11 12 ,401
13,Elective,SE424,1,Seminars in Mathematics,3 3,J.J.Lee,50,Tue-9:00~18:00 Wed-9:00~18:00,,4 5 11 12 16 18,402
14,Elective,SE321,1,Introduction to Number Theory and Abstract Algebra,3 3,S.H.Park,60,Tue-14:30~16:00 Thr-14:30~16:00,,46,334
15,Required,SE103,1,Classical Mechanics,3 3,H.S.Zoe,65,,Wed-16:30~18:00,4 5 11 12,103
16,Required,SE103,2,Classical Mechanics,3 3,H.S.Zoe,65,,Wed-16:30~18:00,4 5 11 12,103
17,Required,SE103,1,Classical Mechanicsb,3 3,K.S.Park,65,,Wed-16:30~18:00,4 5 11 12,102
18,Required,SE103,1,Classical Mechanicsa,3 3,C.S.Yoon,65,,Wed-16:30~18:00,4 5 11 12,104
19,Required,SE104,1,Classical Mechanics Lab,4,K.S.Park,20,,Tue-12:00~14:00 Tue-16:30~18:00 Wed-16:30~18:00,19 20,105
20,Required,SE104,2,Classical Mechanics Lab,4,H.S.Zoe,20,,Wed-16:30~18:00,19 20,105
21,Required,SE104,3,Classical Mechanics Lab,4,H.S.Zoe,20,,Wed-16:30~18:00,19 20,105
22,Required,SE104,4,Classical Mechanics Lab,4,Unknown1,20,Tue-9:00~18:00,,19 20,105
23,Required,SE104,5,Classical Mechanics Lab,4,Unknown1,20,Tue-9:00~18:00,,19 20,105
24,Required,SE104,6,Classical Mechanics Lab,4,Unknown1,20,Thr-9:00~18:00,,19 20,105
25,Required,SE104,7,Classical Mechanics Lab,4,Unknown1,20,Thr-9:00~18:00,,19 20,105
26,Elective,SE235a,1,Electric Circuit and Measurement (Lecture),4,K.J.Lee,120,,Wed-16:30~18:00,14,204
27,Elective,SE235b,1,Electric Circuit and Measurement (Lab),4,Unknown2,24,,,65,205
28,Elective,SE235b,2,Electric Circuit and Measurement (Lab),4,Unknown2,24,,,65,205
29,Elective,SE235b,3,Electric Circuit and Measurement (Lab),4,Unknown2,24,,,65,205
30,Elective,SE235b,4,Electric Circuit and Measurement (Lab),4,Unknown2,24,,,65,205
31,Elective,SE236,1,Analytical Mechanics,3 3,C.S.Yoon,60,,Wed-16:30~18:00,4 5 11 12 16 18,206
32,Elective,SE337a,1,Quantum Mechanics,3 3,K.S.Park,50,,Tue-12:00~14:00 Tue-16:30~18:00 Wed-16:30~18:00,4 5 11 12 16 18,301
33,Elective,SE335b,1,Modern Physics Lab,6,K.S.Park C.S.Yoon,24,Mon-19:00~23:00 Wed-19:00~23:00 Thr-19:00~23:00 ±Ý 19:00~23:00,Wed-16:30~18:00,66,303
34,Elective,SE432,1,Modern Optics,3 3,K.J.Lee,30,,Wed-16:30~18:00,0 1 3 4 5 9 11 12 15,432
35,Required,SE117,1,General Chemistry I (on Matter),3 3,C.H.Nam,60,,Wed-16:30~18:00,4 5 11 12,106
36,Required,SE117,2,General Chemistry I (on Matter),3 3,C.H.Nam,60,,Wed-16:30~18:00,4 5 11 12,106
37,Required,SE117,3,General Chemistry I (on Matter),3 3,B.H.Cheong,60,,9:00~10:30 Wed-16:30~18:00,4 5 11 12,106
38,Required,SE117,4,General Chemistry I (on Matter),3 3,H.S.Cheong,60,,16:30~18:00 Wed-16:30~18:00,4 5 11 12,106
39,Elective,SE249a,1,Chemistry Major Lab,4,Jang-Hun.Jo,24,Thr-10:00~12:00,,26,207
40,Elective,SE249a,2,Chemistry Major Lab,4,Jang-Hun.Jo,24,Thr-14:00~16:00,,26,207
41,Elective,SE249a,3,Chemistry Major Lab,4,Jang-Hun.Jo,24,Thr-16:00~18:00,,26,207
42,Elective,SE249a,4,Chemistry Major Lab,4,Kang-Wook.Lee,24,Tue-13:00~16:00,,26,207
43,Elective,SE249a,5,Chemistry Major Lab,4,Kang-Wook.Lee,24,Tue-16:00~18:00,,26,207
44,Required,SE207a,1,Chemistry Major Lab,4,Unknown3,12,Tue-10:00~12:00,,26,207
45,Elective,SE247d,1,Analytical Chemistry,3 3,H.C.Lee,60,Tue-13:00~14:30 Thr-13:00~14:30,,4 5 11 12 16 18,208
46,Elective,SE245d,1,Organic Chemistry I,3 3,B.H.Cheong,60,,9:00~10:30,4 5 11 12 16 18,209
47,Elective,SE343a,1,Inorganic Chemistry II,3 3,Jae-Hung.Jo Jin-Hee.Park S.K.Lee,30,,,0 1 3 4 5 9 11 12 15,304
48,Elective,SE441,1,Introduction to Polymer Science and Engineering,3 3,D.S.Jeong,30,,,0 1 3 4 5 9 11 12 15,439
49,Elective,SE346a,1,Advanced Chemistry Lab I (Analytical and Organic Chemistry),8,B.H.Cheong H.S.Cheong,24,,12:00~13:00 18:00~19:00 Wed-16:30~18:00,27,306
50,Elective,SE346a,2,Advanced Chemistry Lab I (Analytical and Organic Chemistry),8,B.H.Cheong H.S.Cheong,24,,12:00~13:00 18:00~19:00 Wed-16:30~18:00,27,306
51,Required,SE112,1,General Biology Lab,4,C.H.Lee,24,Mon-10:00~12:00 Wed-10:00~12:00,Wed-16:30~18:00,24,107
52,Required,SE112,2,General Biology Lab,4,S.I.Lee,24,Mon-14:00~18:00 Tue-14:00~18:00 Wed-9:00~12:00,Tue-12:00~14:00 Wed-16:30~18:00,24,107
53,Required,SE112,4,General Biology Lab,4,Dae-Hwan.Kim,24,Wed-9:00~12:00 Wed- 13:00~18:00,Wed-16:30~18:00,24,107
54,Required,SE212a,1,Cell Biology,3 3,Dae-Hwan.Kim,60,,Wed-16:30~18:00,4 5 11 12 16 18,210
55,Required,SE212a,2,Cell Biology,3 3,Dae-Hwan.Kim,60,,Wed-16:30~18:00,4 5 11 12 16 18,210
56,Required,SE212a,3,Cell Biology,3 3,J.A.Jo,60,,Wed-16:30~18:00,4 5 11 12 16 18,210
57,Required,SE212a,4,Cell Biology,3 3,J.A.Jo,60,,Wed-16:30~18:00,4 5 11 12 16 18,210
58,Elective,SE251,1,Molecular and Cellular Biology Lab,6 6,C.H.Lee,24,Tue- Thr-,Wed-16:30~18:00 Fri-,35,212
