Id,SchoolYear,Fsh,Sop,Jun,Sen
0,2014,,,2 15 16 26,1 2
1,2014,,8,27 36,3 4 5 16 18
2,2014,,,,
3,2014,9,13 14 16,11 13 15 16 18 19 20 21 22 23 25 26 27 28 32 41 42,5 6 7 8 18 35
4,2014,,,4 27 35,11 15 29 36 39 41 42 43
5,2014,,6,13 17 19 22 29,6 32
6,2014,,,,
7,2014,,1 2 3 13 18,1 29,1 2 3 4 5 8
8,2014,,13 18,1 11 39 41 42,3 5 8 39
9,2015,,,,
10,2015,10,3 16,9 12 23 27,
11,2015,1 2 3 4 5 6 7 8 9 10 11 12 13,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 41 42,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 46 48 49 50
12,2015,1 8,1 11 13,26 27 41,
13,2016,,,,31 33 40
14,2016,,,26 29 34 41,3 4 6 16
15,2016,1,12,7 8 12 16 17 21 42,5 8 25
16,2016,10,1 4 5 13 14,36 37,16 33
17,2016,7 10,7 16 18,14 17 18 27 29 41 42,
18,2016,,,26,13 27 35 49 50
19,2016,,,15 17,4 5
20,2016,10,6 10,9 10 11 14 19 20 21 23 24 27 34,2 8
21,2016,5 7 10 11,1 3 6 7 8 9 10 11 12 13 14 15 16 17 18,25 27 28 32,
22,2016,,,11 13 14 17 19 20 21 22 23 24 31 32 33,3 4 5 6 9 10 20 22 50
23,2016,,4 5,4 6 14 15 16 17 18 21 22 23 25 30 32 33 37 38 39,7 8 11 35 39 40 43
24,2016,10,1 3 4 5 7 8 9 10 14 18,,
25,2016,,,8 14,23 27
26,2016,,3 17,14 17 27 36 37 38 39,7
27,2016,,,,5 7 8
28,2016,,,32,5 6 12 13 14 17 32
29,2016,3,10 15 18,20 29 34 41 42,
30,2016,,,11 17 18 34,28 31 34
31,2016,6,18,11 42,5 35 38
32,2016,,,16 19,1 2 3 6 12 14 15 17 29 32 41
33,2016,12 13,,8 12,3 4 5 7 9 10 19 38
34,2016,,4 5,36 37 38,16
35,2016,1,1 6,10 11 37 38 39,38 41 46
36,2016,,4,,6 8 16 18
37,2016,,,16 19,3 7 35
38,2016,8 11,1 2 10 11,5 26,
39,2016,6 8,13,7 9 10,
40,2016,,18,,1 2 31 33
41,2017,,9,4 6 39,39
42,2017,,5,15 29,4 7 8 18 40
43,2017,,,36 37 38,16 17 33
44,2017,6,,17 27 34,40
45,2017,1,4 5,9 29,3
46,2017,,,39,7 30
47,2017,,,17 22 26 29,4 40
48,2017,,,16 17 18 19 32 37 41 42,31 40
49,2017,6 8,6 14 17,10 34 39,28 31 33 40 45
50,2017,,3 6 18,34 41 42,
51,2017,,,17 42,3 5 18
52,2017,,3 4,33,3 4 6
53,2017,,,23 26 33 36 37 38,4 16 17 33 41
54,2017,,7 8 9 14,6 28,
55,2017,,6 8,11 13 14 18 20 34,2 5 18 35 40
56,2017,2,17,11 21,3 4 5 6 7 9 27 37
57,2017,7,18,27 28,38
58,2017,,3 5 18,29 41 42,
59,2017,,,21,19 24 27 49
60,2017,,,5 18,7 8 14 36
61,2017,,,,5 8 19 22 23 27 38 49
62,2017,,9,11 21,9 10
63,2017,,,31,5 10 24 38 49
64,2017,,11,26 39,
65,2017,,,,19 20 24 25 38 48
66,2017,,,8 27 28,
67,2017,,3,19 29 41 42,18
68,2017,6,,34 41 42,5 8 18
69,2017,,,1,1 2 3 6 12
70,2017,,18,21 22 41 42,5
