Num,Classroom
0,E7-G01
1,E7-G02
2,E7-G03
3,E7-L20
4,E7-L21
5,E7-L22
6,E7-L27
7,E7-L28
8,E7-L30
9,E7-L31
10,E7-222
11,E7-223
12,E7-224
13,E7-229
14,E7-233
15,E7-235
16,E7-241
17,E7-237
18,E7-242
19,E2-219
20,E2-218
21,E3-317
22,E3-318
23,E3-320
24,E4-225
25,E5-221
26,E6-221
27,E6-222
28,S1-108
29,S1-111
30,S1-301
31,S1-303
32,S1-304
33,S1-305
34,S1-309
35,E4-226
36,Empty
37,E5-220a
38,E5-220b
39,E2-324
40,E2-424
41,E3-113
42,E3-626
43,E3-424
44,E4-114
45,E4-606
46,E5-425
47,E5-115
48,E5-116
49,E6-621
50,E6-626
51,E6-111
52,E6-416
53,E7-234
54,No Assigned Classroom
55,E3-112
56,E2-525
57,E2-524
58,E3-626
59,E5-114
60,E4-515
61,E4-113
62,E6-622
63,E4-227
64,E4-229
65,E2-221
66,E2-215
