학년도, 학기, 조직분류, 교과목명, 교과목번호, 분반, 요일, 시작교시, 종료교시, 건물, 호실, 시간, 교수자
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 1, CMN44.2, UCS05.04, UCS05.06,E7,L22,화요일10:00~11:30, 안흥주 
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 1, CMN44.3, UCS05.10, UCS05.16,E7,L22,수요일13:00~16:30, 안흥주 
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 2, CMN44.1, UCS05.13, UCS05.17,E7,223,월요일14:30~17:00, 강효상 
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 2, CMN44.4, UCS05.03, UCS05.07,E7,223,목요일9:30~12:00, 강효상 
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 3, CMN44.1, UCS05.13, UCS05.15,E7,224,월요일14:30~16:00, 안소영 
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 3, CMN44.4, UCS05.05, UCS05.07,E7,224,목요일10:30~12:00, 안소영 
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 3, CMN44.5, UCS05.10, UCS05.13,E7,224,금요일13:00~15:00, 안소영 
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 4, CMN44.2, UCS05.16, UCS05.18,E7,224,화요일16:00~17:30, 한강진 
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 4, CMN44.3, UCS05.11, UCS05.13,E7,224,수요일13:30~15:00, 한강진 
2020, CMN17.10, CMN12.03, 응용 미적분학과 미분방정식, SE101a, 4, CMN44.5, UCS05.02, UCS05.05,E7,224,금요일9:00~11:00, 한강진 
2020, CMN17.10, CMN12.03, 선형대수학, SE201c, 1, CMN44.2, UCS05.17, UCS05.19,E7,L22,화요일16:30~18:00, 이두석 
2020, CMN17.10, CMN12.03, 선형대수학, SE201c, 1, CMN44.4, UCS05.02, UCS05.04,E7,L22,목요일9:00~10:30, 이두석 
2020, CMN17.10, CMN12.03, 선형대수학, SE201c, 1, CMN44.5, UCS05.10, UCS05.13,E7,L22,금요일13:00~15:00, 이두석 
2020, CMN17.10, CMN12.03, 선형대수학, SE201c, 2, CMN44.2, UCS05.17, UCS05.19,E7,L21,화요일16:30~18:00, 안소영 
2020, CMN17.10, CMN12.03, 선형대수학, SE201c, 2, CMN44.3, UCS05.11, UCS05.13,E7,L21,수요일13:30~15:00, 안소영 
2020, CMN17.10, CMN12.03, 선형대수학, SE201c, 2, CMN44.5, UCS05.03, UCS05.06,E7,L21,금요일9:30~11:30, 안소영 
2020, CMN17.10, CMN12.03, 선형대수학, SE201c, 3, CMN44.1, UCS05.02, UCS05.04,E7,223,월요일9:00~10:30, 김호일 
2020, CMN17.10, CMN12.03, 선형대수학, SE201c, 3, CMN44.3, UCS05.05, UCS05.07,E7,223,수요일10:30~12:00, 김호일 
2020, CMN17.10, CMN12.03, 선형대수학, SE201c, 3, CMN44.3, UCS05.11, UCS05.14,E7,223,수요일13:30~15:30, 김호일 
2020, CMN17.10, CMN12.03, 선형대수학 - 심화, SE201d, 1, CMN44.1, UCS05.05, UCS05.07,E7,223,월요일10:30~12:00, 한강진 
2020, CMN17.10, CMN12.03, 선형대수학 - 심화, SE201d, 1, CMN44.2, UCS05.02, UCS05.04,E7,223,화요일9:00~10:30, 한강진 
2020, CMN17.10, CMN12.03, 선형대수학 - 심화, SE201d, 1, CMN44.2, UCS05.10, UCS05.13,E7,223,화요일13:00~15:00, 한강진 
2020, CMN17.10, CMN12.03, 확률과 통계 및 실습, SE206a, 1, CMN44.1, UCS05.14, UCS05.17,E7,241,월요일15:00~17:00, 김주한 
2020, CMN17.10, CMN12.03, 확률과 통계 및 실습, SE206a, 1, CMN44.3, UCS05.11, UCS05.14,E7,241,수요일13:30~15:30, 김주한 
2020, CMN17.10, CMN12.03, 확률과 통계 및 실습, SE206a, 2, CMN44.1, UCS05.10, UCS05.13,E7,241,월요일13:00~15:00, 김주한 
2020, CMN17.10, CMN12.03, 확률과 통계 및 실습, SE206a, 2, CMN44.2, UCS05.14, UCS05.17,E7,241,화요일15:00~17:00, 김주한 
